Fiscal Year 2017	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Algeria	26	306	0	84	11,898	19	0	0	9	2	0	0	0	0	82	0	1	0	0	0	0	203	6	0	39	57	0	53	0	12	0	0	0	0	0	6	9	258	27	55	1	0	0	24	23	93	0	0	0	0	0	0	0	0	0	0	0	2	0	2	25	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13,323	0	13,323	
Angola	81	93	0	7	4,786	793	0	0	11	125	0	1	0	0	0	0	1	0	0	0	0	672	47	0	69	97	0	9	1	5	0	0	0	0	1	2	18	61	5	3	0	0	0	32	41	11	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6,977	0	6,977	
Benin	22	88	2	4	1,426	2	0	0	8	0	0	8	0	0	6	0	0	0	0	0	0	136	5	0	25	80	0	65	0	9	0	0	0	0	0	6	2	40	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,953	0	1,953	
Botswana	12	146	2	10	963	0	0	0	47	17	0	3	0	0	0	0	0	0	0	0	0	70	6	0	7	73	0	17	4	2	0	0	1	0	0	0	0	100	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,501	0	1,501	
Burkina Faso	21	101	1	4	2,186	7	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	305	7	0	18	70	0	88	0	11	0	0	0	0	0	0	6	57	0	13	3	0	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,929	0	2,929	
Burundi	9	17	0	1	1,364	7	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	135	0	0	8	30	0	69	1	0	0	0	0	0	0	0	1	25	3	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,693	0	1,693	
Cabo Verde	18	47	1	3	2,112	2	0	0	1	31	0	9	0	0	0	0	0	0	0	0	0	42	2	0	3	32	0	1	1	0	0	0	0	0	0	0	3	17	2	74	21	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	21	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,454	0	2,454	
Cameroon	14	412	1	10	9,707	18	0	0	7	24	0	1	0	0	1	0	5	0	0	0	0	1,084	15	0	19	225	0	159	1	46	0	0	0	0	2	14	12	179	42	171	17	0	0	18	14	9	0	0	0	0	0	0	0	0	0	0	0	1	2	0	19	0	8	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12,275	0	12,275	
Central African Republic	17	19	0	1	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	11	47	0	6	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	281	0	281	
Chad	38	133	2	199	162	571	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	32	72	2	51	0	2	0	0	0	0	0	0	1	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,382	0	1,382	
Comoros	7	6	1	1	96	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	10	32	0	10	0	0	0	0	0	0	0	0	1	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	179	
Congo, Dem. Rep. of the (Kinshasa)	21	128	0	12	6,555	14	0	0	14	7	0	6	0	0	0	0	1	0	0	0	0	524	8	0	25	295	0	118	0	9	0	0	0	1	0	0	0	72	10	25	5	0	0	6	0	9	0	0	0	0	0	0	0	0	0	0	0	5	22	0	2	0	12	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7,929	0	7,929	
Congo, Rep. of the (Brazzaville)	16	47	10	0	1,031	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	97	0	0	47	160	0	45	0	1	0	0	0	0	1	1	2	26	0	6	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,505	0	1,505	
